iter	RMSE
0	40.55404964
1	39.32683831
2	38.20616362
3	37.14736241
4	36.16634902
5	35.24840579
6	34.41515175
7	33.65518772
8	32.93013712
9	32.27431075
10	31.67302852
11	31.10434016
12	30.5855575
13	30.10225858
14	29.6715915
15	29.25178057
16	28.87266607
17	28.52108552
18	28.18160008
19	27.86750198
20	27.58023139
21	27.29049826
22	27.04110142
23	26.79633108
24	26.58080747
25	26.38087092
26	26.18407495
27	25.99504086
28	25.8270329
29	25.66443472
30	25.51311795
31	25.3704447
32	25.21699069
33	25.09887487
34	24.97477456
35	24.82217753
36	24.71708059
37	24.61657571
38	24.51144838
39	24.41778008
40	24.33338859
41	24.25879725
42	24.19172992
43	24.06639656
44	23.95198007
45	23.85407416
46	23.77437237
47	23.68892421
48	23.61486331
49	23.54202166
50	23.4903502
51	23.43185563
52	23.37144581
53	23.30108073
54	23.21103998
55	23.1492056
56	23.08969188
57	23.03210925
58	22.97756934
59	22.91878529
60	22.88322079
61	22.8312445
62	22.7936065
63	22.75661838
64	22.71033552
65	22.67848422
66	22.64860123
67	22.6113844
68	22.56064525
69	22.51362894
70	22.48775182
71	22.42137473
72	22.39685429
73	22.36459411
74	22.32866947
75	22.30349921
76	22.25726757
77	22.23261689
78	22.22625552
79	22.20474836
80	22.16806543
81	22.14633048
82	22.12673027
83	22.10206326
84	22.08112884
85	22.03440994
86	22.01624663
87	21.98533686
88	21.94866242
89	21.92171649
90	21.8985004
91	21.83250805
92	21.78818394
93	21.76669285
94	21.70616151
95	21.66841072
96	21.6216084
97	21.58726781
98	21.56745898
99	21.54623356
100	21.52765726
101	21.4942869
102	21.47918129
103	21.4347045
104	21.42043337
105	21.40466436
106	21.38871422
107	21.33875818
108	21.30583118
109	21.29594079
110	21.25879417
111	21.23144763
112	21.20456741
113	21.19213867
114	21.17757598
115	21.16433734
116	21.14701617
117	21.13846669
118	21.12866839
119	21.11367758
120	21.073773
121	21.06068229
122	21.04573888
123	21.03426069
124	21.02044639
125	20.98376287
126	20.93900197
127	20.91307183
128	20.87163348
129	20.83878292
130	20.82764947
131	20.79757173
